#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 1990-10-01 to 1991-09-30
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 306: Atlanta Summit, ID
#	SNOTEL 312: Banner Summit, ID
#	SNOTEL 319: Bear Basin, ID
#	SNOTEL 320: Bear Canyon, ID
#	SNOTEL 323: Bear Mountain, ID
#	SNOTEL 324: Bear Saddle, ID
#	SNOTEL 338: Big Creek Summit, ID
#	SNOTEL 978: Bogus Basin, ID
#	SNOTEL 359: Bostetter R.S., ID
#	SNOTEL 370: Brundage Reservoir, ID
#	SNOTEL 382: Camas Creek Divide, ID
#	SNOTEL 895: Chocolate Gulch, ID
#	SNOTEL 411: Cool Creek, ID
#	SNOTEL 1306: Couch Summit, ID
#	SNOTEL 423: Cozy Cove, ID
#	SNOTEL 424: Crab Creek, ID
#	SNOTEL 425: Crater Meadows, ID
#	SNOTEL 439: Deadwood Summit, ID
#	SNOTEL 450: Dollarhide Summit, ID
#	SNOTEL 466: Elk Butte, ID
#	SNOTEL 471: Emigrant Summit, ID
#	SNOTEL 1305: Fish Ck, ID
#	SNOTEL 484: Franklin Basin, ID
#	SNOTEL 489: Galena, ID
#	SNOTEL 490: Galena Summit, ID
#	SNOTEL 492: Garfield R.S., ID
#	SNOTEL 493: Giveout, ID
#	SNOTEL 496: Graham Guard Sta., ID
#	SNOTEL 520: Hemlock Butte, ID
#	SNOTEL 988: Hidden Lake, ID
#	SNOTEL 524: Hilts Creek, ID
#	SNOTEL 534: Howell Canyon, ID
#	SNOTEL 535: Humboldt Gulch, ID
#	SNOTEL 537: Hyndman, ID
#	SNOTEL 546: Island Park, ID
#	SNOTEL 550: Jackson Peak, ID
#	SNOTEL 588: Lolo Pass, ID
#	SNOTEL 1016: Long Valley, ID
#	SNOTEL 594: Lookout, ID
#	SNOTEL 600: Lost Lake, ID
#	SNOTEL 601: Lost-Wood Divide, ID
#	SNOTEL 610: Magic Mountain, ID
#	SNOTEL 620: Meadow Lake, ID
#	SNOTEL 623: Mica Creek, ID
#	SNOTEL 627: Mill Creek Summit, ID
#	SNOTEL 636: Moonshine, ID
#	SNOTEL 638: Moose Creek, ID
#	SNOTEL 637: Mores Creek Summit, ID
#	SNOTEL 639: Morgan Creek, ID
#	SNOTEL 989: Moscow Mountain, ID
#	SNOTEL 645: Mosquito Ridge, ID
#	SNOTEL 650: Mountain Meadows, ID
#	SNOTEL 654: Mud Flat, ID
#	SNOTEL 1053: Myrtle Creek, ID
#	SNOTEL 677: Oxford Spring, ID
#	SNOTEL 1299: Pebble Creek, ID
#	SNOTEL 1142: Pierce R.S., ID
#	SNOTEL 695: Pine Creek Pass, ID
#	SNOTEL 704: Prairie, ID
#	SNOTEL 1081: Ragged Mountain, ID
#	SNOTEL 2029: Reynolds Creek, ID
#	SNOTEL 735: Savage Pass, ID
#	SNOTEL 915: Schwartz Lake, ID
#	SNOTEL 738: Schweitzer Basin, ID
#	SNOTEL 740: Secesh Summit, ID
#	SNOTEL 741: Sedgwick Peak, ID
#	SNOTEL 747: Shanghi Summit, ID
#	SNOTEL 749: Sheep Mtn., ID
#	SNOTEL 752: Sherwin, ID
#	SNOTEL 761: Slug Creek Divide, ID
#	SNOTEL 926: Smiley Mountain, ID
#	SNOTEL 769: Soldier R.S., ID
#	SNOTEL 770: Somsen Ranch, ID
#	SNOTEL 774: South Mtn., ID
#	SNOTEL 782: Squaw Flat, ID
#	SNOTEL 792: Stickney Mill, ID
#	SNOTEL 803: Sunset, ID
#	SNOTEL 805: Swede Peak, ID
#	SNOTEL 830: Trinity Mtn., ID
#	SNOTEL 979: Van Wyck, ID
#	SNOTEL 845: Vienna Mine, ID
#	SNOTEL 855: West Branch, ID
#	SNOTEL 860: White Elephant, ID
#	SNOTEL 867: Wildhorse Divide, ID
#	SNOTEL 871: Wilson Creek, ID
# 
# Data items provided in this file:
#
# Element Name           Value Type          Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Median (1991-2020)  None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: 1990-10-01 to 1991-09-30
#
# As of: Jan 31, 2022 12:45:09 PM GMT-08:00
#
Station Id,Station Name,Day,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
,,,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values
306,Atlanta Summit,01,0.0,0.5,5.1,11.5,19.1,23.0,28.0,25.6,6.8,0.0,0.0,0.0
306,Atlanta Summit,02,0.0,0.5,5.2,12.0,19.2,23.0,27.9,25.3,5.5,0.0,0.0,0.0
306,Atlanta Summit,03,0.0,0.6,5.2,12.4,19.4,23.8,27.8,25.2,4.0,0.0,0.0,0.0
306,Atlanta Summit,04,0.0,0.9,5.4,12.4,19.5,23.8,27.8,25.2,2.2,0.0,0.0,0.0
306,Atlanta Summit,05,0.0,1.0,5.4,13.2,19.5,23.9,28.0,25.3,0.8,0.0,0.0,0.0
306,Atlanta Summit,06,0.0,1.4,5.6,14.0,19.5,24.3,27.9,25.2,0.2,0.0,0.0,0.0
306,Atlanta Summit,07,0.0,1.3,5.6,14.2,19.5,24.5,27.9,24.6,0.0,0.0,0.0,0.0
306,Atlanta Summit,08,0.0,1.5,6.0,14.4,19.5,24.9,27.8,24.1,0.0,0.0,0.0,0.0
306,Atlanta Summit,09,0.0,1.6,6.3,14.8,19.5,25.0,27.6,24.2,0.0,0.0,0.0,0.0
306,Atlanta Summit,10,0.0,1.7,6.4,15.1,19.5,25.2,27.8,23.6,0.0,0.0,0.0,0.0
306,Atlanta Summit,11,0.0,1.6,6.4,15.2,19.5,25.2,28.0,23.2,0.0,0.0,0.0,0.0
306,Atlanta Summit,12,0.0,1.8,6.4,15.3,19.5,25.5,28.1,22.6,0.0,0.0,0.0,0.0
306,Atlanta Summit,13,0.0,1.8,6.9,15.3,19.6,25.5,28.0,22.4,0.0,0.0,0.0,0.0
306,Atlanta Summit,14,0.0,2.0,7.6,15.4,20.0,25.6,28.3,22.4,0.0,0.0,0.0,0.0
306,Atlanta Summit,15,0.0,2.2,7.8,15.8,20.5,25.9,28.7,21.4,0.0,0.0,0.0,0.0
306,Atlanta Summit,16,0.0,2.2,8.3,15.8,20.5,26.6,28.6,20.7,0.0,0.0,0.0,0.0
306,Atlanta Summit,17,0.0,2.4,8.4,15.8,21.0,26.6,28.6,20.0,0.0,0.0,0.0,0.0
306,Atlanta Summit,18,0.0,2.6,8.4,15.8,21.2,26.8,28.9,19.6,0.0,0.0,0.0,0.0
306,Atlanta Summit,19,0.0,2.7,8.4,16.0,21.5,26.8,29.0,18.4,0.0,0.0,0.0,0.0
306,Atlanta Summit,20,0.0,2.8,8.4,16.0,21.8,27.2,28.8,16.8,0.0,0.0,0.0,0.0
306,Atlanta Summit,21,0.0,3.4,9.0,16.3,22.0,27.2,28.4,15.9,0.0,0.0,0.0,0.0
306,Atlanta Summit,22,0.0,3.5,9.2,17.0,22.1,27.2,28.0,15.4,0.0,0.0,0.0,0.0
306,Atlanta Summit,23,0.0,3.8,9.2,17.2,22.2,27.4,27.6,14.6,0.0,0.0,0.0,0.0
306,Atlanta Summit,24,0.0,3.8,9.6,17.2,22.6,27.6,27.3,13.6,0.0,0.0,0.0,0.0
306,Atlanta Summit,25,0.0,3.9,10.2,17.6,22.8,27.8,27.2,12.7,0.0,0.0,0.0,0.0
306,Atlanta Summit,26,0.2,4.0,10.2,17.8,22.8,28.0,26.8,11.4,0.0,0.0,0.0,0.0
306,Atlanta Summit,27,0.2,4.0,10.2,18.2,22.9,27.9,26.4,10.0,0.0,0.0,0.0,0.0
306,Atlanta Summit,28,0.2,4.2,10.8,18.6,22.9,28.0,26.3,9.4,0.0,0.0,0.0,0.0
306,Atlanta Summit,29,0.3,4.5,11.0,18.6,,28.0,26.0,9.2,0.0,0.0,0.0,0.0
306,Atlanta Summit,30,0.2,5.0,11.3,18.7,,28.0,25.7,8.6,0.0,0.0,0.0,0.0
306,Atlanta Summit,31,0.4,,11.4,19.1,,28.0,,7.7,,0.0,0.0,
312,Banner Summit,01,0.0,0.2,4.2,10.6,16.0,20.6,26.1,21.0,4.0,0.0,0.0,0.0
312,Banner Summit,02,0.0,0.3,4.6,10.9,16.2,20.7,26.3,20.4,2.4,0.0,0.0,0.0
312,Banner Summit,03,0.0,0.5,4.8,10.9,16.2,21.0,26.2,20.0,1.1,0.0,0.0,0.0
312,Banner Summit,04,0.0,0.6,5.0,10.9,16.2,21.0,26.4,19.6,0.3,0.0,0.0,0.0
312,Banner Summit,05,0.0,0.8,5.0,11.6,16.2,21.0,26.4,19.4,0.2,0.0,0.0,0.0
312,Banner Summit,06,0.0,0.7,5.0,12.1,16.3,21.3,26.6,19.1,0.0,0.0,0.0,0.0
312,Banner Summit,07,0.0,0.8,5.0,12.2,16.3,21.7,26.6,18.7,0.0,0.0,0.0,0.0
312,Banner Summit,08,0.0,0.8,5.3,12.4,16.4,21.9,26.6,18.6,0.0,0.0,0.0,0.0
312,Banner Summit,09,0.0,1.2,6.2,12.8,16.5,22.0,26.6,18.4,0.0,0.0,0.0,0.0
312,Banner Summit,10,0.0,1.2,6.4,13.3,16.6,22.3,26.4,18.2,0.0,0.0,0.0,0.0
312,Banner Summit,11,0.0,1.2,6.4,13.4,16.6,22.6,26.2,17.8,0.0,0.0,0.0,0.0
